GEOID,NAME,variable,estimate,moe
13239,"Quitman County, Georgia",B01001_001,2276,152
13241,"Rabun County, Georgia",B01001_001,16457,NA
13243,"Randolph County, Georgia",B01001_001,7087,NA
13245,"Richmond County, Georgia",B01001_001,201463,NA
13247,"Rockdale County, Georgia",B01001_001,89011,NA
13249,"Schley County, Georgia",B01001_001,5211,NA
13251,"Screven County, Georgia",B01001_001,13990,NA
13253,"Seminole County, Georgia",B01001_001,8437,NA
13255,"Spalding County, Georgia",B01001_001,64719,NA
13257,"Stephens County, Georgia",B01001_001,25676,NA
13259,"Stewart County, Georgia",B01001_001,6042,NA
13261,"Sumter County, Georgia",B01001_001,30352,NA
13263,"Talbot County, Georgia",B01001_001,6378,NA
13265,"Taliaferro County, Georgia",B01001_001,1665,152
13267,"Tattnall County, Georgia",B01001_001,25353,NA
13269,"Taylor County, Georgia",B01001_001,8193,NA
13271,"Telfair County, Georgia",B01001_001,16115,NA
13273,"Terrell County, Georgia",B01001_001,8859,NA
13275,"Thomas County, Georgia",B01001_001,44730,NA
13277,"Tift County, Georgia",B01001_001,40510,NA
13279,"Toombs County, Georgia",B01001_001,27048,NA
13281,"Towns County, Georgia",B01001_001,11417,NA
13283,"Treutlen County, Georgia",B01001_001,6777,NA
13285,"Troup County, Georgia",B01001_001,69774,NA
13287,"Turner County, Georgia",B01001_001,7962,NA
13289,"Twiggs County, Georgia",B01001_001,8284,NA
13291,"Union County, Georgia",B01001_001,22775,NA
13293,"Upson County, Georgia",B01001_001,26216,NA
13295,"Walker County, Georgia",B01001_001,68824,NA
13297,"Walton County, Georgia",B01001_001,90132,NA
13299,"Ware County, Georgia",B01001_001,35599,NA
13301,"Warren County, Georgia",B01001_001,5346,NA
13303,"Washington County, Georgia",B01001_001,20461,NA
13305,"Wayne County, Georgia",B01001_001,29767,NA
13307,"Webster County, Georgia",B01001_001,2613,NA
13309,"Wheeler County, Georgia",B01001_001,7939,NA
13311,"White County, Georgia",B01001_001,28928,NA
13313,"Whitfield County, Georgia",B01001_001,103849,NA
13315,"Wilcox County, Georgia",B01001_001,8846,NA
13317,"Wilkes County, Georgia",B01001_001,9884,NA
13319,"Wilkinson County, Georgia",B01001_001,9078,NA
13321,"Worth County, Georgia",B01001_001,20656,NA
